Código IBGE;Município;Meso Região;Micro Região;Praça Pagamento
3142502;Monjolos;Central Mineira;Curvelo;Diamantina
314000135;Monsenhor Horta;Metropolitana de Belo Horizonte;Ouro Preto;Mariana
313390710;Monsenhor Isidro;Metropolitana de Belo Horizonte;Conselheiro Lafaiete;Conselheiro Lafaiete
311660510;Monsenhor João Alexandre;Oeste de Minas;Divinópolis;Cláudio
3142601;Monsenhor Paulo;Sul/Sudoeste de Minas;Varginha;Varginha
3142700;Montalvânia;Norte de Minas;Januária;Montalvânia
3142809;Monte Alegre de Minas;Triângulo Mineiro/Alto Paranaíba;Uberlândia;Monte Alegre de Minas
3142908;Monte Azul;Norte de Minas;Janaúba;Monte Azul
3143005;Monte Belo;Sul/Sudoeste de Minas;São Sebastião do Paraíso;Monte Belo
3143104;Monte Carmelo;Triângulo Mineiro/Alto Paranaíba;Patrocínio;Monte Carmelo
316150210;Monte Celeste;Zona da Mata;Ubá;Visconde do Rio Branco
3143153;Monte Formoso;Jequitinhonha;Almenara;Jequitinhonha
313695915;Monte Rei;Norte de Minas;Januária;Montalvânia
3143203;Monte Santo de Minas;Sul/Sudoeste de Minas;São Sebastião do Paraíso;Monte Santo de Minas
3143401;Monte Sião;Sul/Sudoeste de Minas;Poços de Caldas;Monte Sião
311050910;Monte Verde;Sul/Sudoeste de Minas;Pouso Alegre;Camanducaia
3143302;Montes Claros;Norte de Minas;Montes Claros;Montes Claros
3143450;Montezuma;Norte de Minas;Salinas;Rio Pardo de Minas
3143500;Morada Nova de Minas;Central Mineira;Três Marias;Morada Nova de Minas
316110615;Morro;Norte de Minas;Januária;São Francisco
3143609;Morro da Garça;Central Mineira;Curvelo;Curvelo
314560410;Morro do Ferro;Oeste de Minas;Oliveira;Oliveira
3143708;Morro do Pilar;Metropolitana de Belo Horizonte;Conceição do Mato Dentro;Conceição do Mato Dentro
311000415;Morro Vermelho;Metropolitana de Belo Horizonte;Belo Horizonte;Caeté
316860630;Mucuri;Vale do Mucuri;Teófilo Otoni;Teófilo Otoni
315220416;Mulungu de Minas;Norte de Minas;Janaúba;Porteirinha
310110225;Mundo Novo de Minas;Vale do Rio Doce;Aimorés;Aimorés
3143807;Munhoz;Sul/Sudoeste de Minas;Pouso Alegre;Bueno Brandão
314200710;Muquém;Norte de Minas;Montes Claros;Montes Claros
3143906;Muriaé;Zona da Mata;Muriaé;Muriaé
3043906;Muriaé II;Zona da Mata;Muriaé;Muriaé
3144003;Mutum;Vale do Rio Doce;Aimorés;Mutum
3144102;Muzambinho;Sul/Sudoeste de Minas;São Sebastião do Paraíso;Muzambinho
3140159;Mário Campos;Metropolitana de Belo Horizonte;Belo Horizonte;Ibirité
316450610;Mãe dos Homens;Vale do Rio Doce;Peçanha;Santa Maria do Suaçuí
3144201;Nacip Raydan;Vale do Rio Doce;Governador Valadares;Peçanha
3144300;Nanuque;Vale do Mucuri;Nanuque;Nanuque
3144359;Naque;Vale do Rio Doce;Ipatinga;Açucena
310050028;Naque-Nanuque;Vale do Rio Doce;Ipatinga;Açucena
3144375;Natalândia;Noroeste de Minas;Unaí;Bonfinópolis de Minas
3144409;Natércia;Sul/Sudoeste de Minas;Santa Rita do Sapucaí;Natércia
3144508;Nazareno;Campo das Vertentes;São João Del Rei;São João del Rei
314460720;Nazaré de Minas;Campo das Vertentes;Lavras;Nepomuceno
316280710;Nelson de Sena;Vale do Rio Doce;Guanhães;São João Evangelista
313350120;Neolândia;Oeste de Minas;Formiga;Itapecerica
3144607;Nepomuceno;Campo das Vertentes;Lavras;Nepomuceno
313930020;Nhandutiba;Norte de Minas;Januária;Manga
315430930;Nicolândia;Vale do Rio Doce;Aimorés;Resplendor
3144656;Ninheira;Norte de Minas;Salinas;São João do Paraíso
3144672;Nova Belém;Vale do Rio Doce;Mantena;Mantena
3144706;Nova Era;Metropolitana de Belo Horizonte;Itabira;Nova Era
314330220;Nova Esperança;Norte de Minas;Montes Claros;Montes Claros
3144805;Nova Lima;Metropolitana de Belo Horizonte;Belo Horizonte;Nova Lima
315700525;Nova Matrona;Norte de Minas;Salinas;Salinas
313535720;Nova Minda;Norte de Minas;Montes Claros;Brasília de Minas
3144904;Nova Módica;Vale do Rio Doce;Governador Valadares;Itambacuri
3145000;Nova Ponte;Triângulo Mineiro/Alto Paranaíba;Araxá;Nova Ponte
3145059;Nova Porteirinha;Norte de Minas;Janaúba;Janaúba
3145109;Nova Resende;Sul/Sudoeste de Minas;São Sebastião do Paraíso;Nova Resende
312015120;Nova Santa Luzia;Vale do Mucuri;Nanuque;Águas Formosas
3145208;Nova Serrana;Oeste de Minas;Divinópolis;Nova Serrana
3136603;Nova União;Metropolitana de Belo Horizonte;Itabira;Caeté
314530715;Novilhona;Jequitinhonha;Araçuaí;Novo Cruzeiro
3145307;Novo Cruzeiro;Jequitinhonha;Araçuaí;Novo Cruzeiro
310470015;Novo Horizonte;Vale do Mucuri;Teófilo Otoni;Teófilo Otoni
313090319;Novo Horizonte de Inhapim;Vale do Rio Doce;Caratinga;Inhapim
